location,features,price
Buca - Çamlıkule Mahallesi,130,4475000
Buca - Çamlıkule Mahallesi,160,6500000
Buca - Dicle Mahallesi,120,20000000
Buca - Göksu Mahallesi,111,7100000
Buca - Belenbaşı Mahallesi,420,2650000
Buca - Karacaağaç Mahallesi,230,4100000
Buca - Göksu Mahallesi,117,7090000
Buca - Göksu Mahallesi,130,7100000
Buca - İnönü Mahallesi,145,8500000
Buca - Göksu Mahallesi,131,7100000
Buca - Yeşilbağlar Mahallesi,95,7300000
Buca - Göksu Mahallesi,111,7125000
Buca - Göksu Mahallesi,110,7090000
Buca - Mustafa Kemal Mahallesi,130,8450000
Buca - Murathan Mahallesi,110,6475000
Buca - Göksu Mahallesi,120,3350000
Buca - Çaldıran Mahallesi,210,3800000
Buca - Hürriyet Mahallesi,115,7250000
Buca - Göksu Mahallesi,100,6750000
Buca - Yeşilbağlar Mahallesi,102,12900000
Buca - Göksu Mahallesi,100,7200000
Buca - Dicle Mahallesi,216,4500000
Buca - Karacaağaç Mahallesi,350,2760000
Buca - Dicle Mahallesi,216,5050000
Buca - Kırklar Mahallesi,120,6500000
Buca - Kaynaklar Merkez Mahallesi,520,6000000
Buca - Vali Rahmi Bey Mahallesi,155,13750000
Buca - İnönü Mahallesi,215,8700000
Buca - Göksu Mahallesi,131,7100000
Buca - İnönü Mahallesi,88,5600000
Buca - Doğancılar Mahallesi,472,6500000
Buca - Murathan Mahallesi,220,8500000
Buca - Göksu Mahallesi,230,7500000
Buca - Karacaağaç Mahallesi,750,7950000
Buca - Yeşilbağlar Mahallesi,125,13000000
Buca - Murathan Mahallesi,95,4300000
Buca - Belenbaşı Mahallesi,100,8750000
Buca - Karacaağaç Mahallesi,650,5450000
Buca - Kırklar Mahallesi,800,2150000
Buca - Doğancılar Mahallesi,450,45000000
Buca - Kırklar Mahallesi,286,3150000
Buca - İnönü Mahallesi,748,21250000
Buca - Mustafa Kemal Mahallesi,107,4250000
Buca - Doğancılar Mahallesi,375,2170000
Buca - Kozağaç Mahallesi,158,6500000
Buca - Belenbaşı Mahallesi,250,1400000
Buca - Yeşilbağlar Mahallesi,97,7750000
Buca - Murathan Mahallesi,220,8300000
Buca - Karacaağaç Mahallesi,750,6650000
Buca - Karacaağaç Mahallesi,300,2250000
Buca - Vali Rahmi Bey Mahallesi,110,6000000
Buca - Göksu Mahallesi,113,4750000
Buca - Göksu Mahallesi,135,4950000
Buca - Göksu Mahallesi,146,9500000
Buca - Şirinkapı Mahallesi,374,10500000
Buca - Karacaağaç Mahallesi,450,2485000
Buca - Murathan Mahallesi,120,6500000
Buca - Çamlıpınar Mahallesi,123,1975000
Buca - Belenbaşı Mahallesi,170,2450000
Buca - Belenbaşı Mahallesi,250,2700000
Buca - Dumlupınar Mahallesi,400,19250000
Buca - Göksu Mahallesi,161,17900000
Buca - Belenbaşı Mahallesi,360,4600000
Buca - Göksu Mahallesi,143,7000000
Buca - İnönü Mahallesi,121,9500000
Buca - Belenbaşı Mahallesi,110,5800000
Buca - Karacaağaç Mahallesi,170,7500000
Buca - Dicle Mahallesi,105,3500000
Buca - Fırat Mahallesi,148,6900000
Buca - Dumlupınar Mahallesi,250,5650000
Buca - Karacaağaç Mahallesi,390,1850000
Buca - Belenbaşı Mahallesi,80,6750000
Buca - Karacaağaç Mahallesi,505,4650000
Buca - Kaynaklar Merkez Mahallesi,520,6000000
Buca - Göksu Mahallesi,130,5000000
Buca - Şirinkapı Mahallesi,218,6500000
Buca - Dicle Mahallesi,166,8500000
Buca - Dumlupınar Mahallesi,255,6250000
Buca - Mustafa Kemal Mahallesi,136,7500000
Buca - Menderes Mahallesi,157,7700000
Buca - Belenbaşı Mahallesi,301,2850000
Buca - Kozağaç Mahallesi,311,10750000
